var_host_name;if_eth0;if_eth0_ip;if_eth0_mask;if_eth0_gw;if_eth1;if_eth1_ip;if_eth1_mask;if_eth1_gw;if_eth2;if_eth2_ip;if_eth2_mask;if_eth2_gw
ctrl-01.pd09.local;true;10.9.60.21;255.255.255.192;10.9.60.62;true;10.9.52.21;255.255.255.192;10.9.52.62;true;10.9.68.21;255.255.255.192;10.9.68.62
ctrl-02.pd09.local;true;10.9.60.22;255.255.255.192;10.9.60.62;true;10.9.52.22;255.255.255.192;10.9.52.62;true;10.9.68.22;255.255.255.192;10.9.68.62
ctrl-03.pd09.local;true;10.9.60.23;255.255.255.192;10.9.60.62;true;10.9.52.23;255.255.255.192;10.9.52.62;true;10.9.68.23;255.255.255.192;10.9.68.62
